177.9450-38.4000  1.0000  1.2554
177.9450-38.4060  1.0000  1.3162
177.9450-38.4120  1.0000  1.2819
177.9450-38.4180  1.0000  1.1603
177.9450-38.4240  1.0000  0.9794
177.9450-38.4300  1.0000  0.7822
177.9450-38.4360  1.0000  0.6177
177.9450-38.4420  1.0000  0.5279
177.9450-38.4480  1.0000  0.5354
177.9450-38.4540  1.0000  0.6386
177.9450-38.4600  1.0000  0.8110
177.9450-38.4660  1.0000  1.0088
177.9450-38.4720  1.0000  1.1833
177.9450-38.4780  1.0000  1.2931
177.9450-38.4840  1.0000  1.3131
177.9450-38.4900  1.0000  1.2387
177.9450-38.4960  1.0000  1.0868
177.9450-38.5020  1.0000  0.8930
177.9450-38.5080  1.0000  0.7041
177.9450-38.5140  1.0000  0.5677
177.9450-38.5200  1.0000  0.5187
177.9450-38.5260  1.0000  0.5694
177.9450-38.5320  1.0000  0.7071
177.9450-38.5380  1.0000  0.8965
177.9450-38.5440  1.0000  1.0900
177.9450-38.5500  1.0000  1.2407
177.9450-38.5560  1.0000  1.3136
177.9450-38.5620  1.0000  1.2919
177.9450-38.5680  1.0000  1.1807
177.9450-38.5740  1.0000  1.0054
177.9450-38.5800  1.0000  0.8075
177.9450-38.5860  1.0000  0.6360
177.9450-38.5920  1.0000  0.5344
177.9450-38.5980  1.0000  0.5286
177.9540-38.4000  1.0000  1.2264
177.9540-38.4060  1.0000  1.2819
177.9540-38.4120  1.0000  1.2506
177.9540-38.4180  1.0000  1.1395
177.9540-38.4240  1.0000  0.9744
177.9540-38.4300  1.0000  0.7947
177.9540-38.4360  1.0000  0.6449
177.9540-38.4420  1.0000  0.5631
177.9540-38.4480  1.0000  0.5699
177.9540-38.4540  1.0000  0.6639
177.9540-38.4600  1.0000  0.8210
177.9540-38.4660  1.0000  1.0012
177.9540-38.4720  1.0000  1.1605
177.9540-38.4780  1.0000  1.2608
177.9540-38.4840  1.0000  1.2790
177.9540-38.4900  1.0000  1.2110
177.9540-38.4960  1.0000  1.0724
177.9540-38.5020  1.0000  0.8957
177.9540-38.5080  1.0000  0.7236
177.9540-38.5140  1.0000  0.5993
177.9540-38.5200  1.0000  0.5547
177.9540-38.5260  1.0000  0.6009
177.9540-38.5320  1.0000  0.7263
177.9540-38.5380  1.0000  0.8989
177.9540-38.5440  1.0000  1.0753
177.9540-38.5500  1.0000  1.2130
177.9540-38.5560  1.0000  1.2795
177.9540-38.5620  1.0000  1.2597
177.9540-38.5680  1.0000  1.1580
177.9540-38.5740  1.0000  0.9981
177.9540-38.5800  1.0000  0.8178
177.9540-38.5860  1.0000  0.6616
177.9540-38.5920  1.0000  0.5690
177.9540-38.5980  1.0000  0.5637
177.9630-38.4000  1.0000  1.1234
177.9630-38.4060  1.0000  1.1603
177.9630-38.4120  1.0000  1.1395
177.9630-38.4180  1.0000  1.0659
177.9630-38.4240  1.0000  0.9569
177.9630-38.4300  1.0000  0.8387
177.9630-38.4360  1.0000  0.7405
177.9630-38.4420  1.0000  0.6869
177.9630-38.4480  1.0000  0.6914
177.9630-38.4540  1.0000  0.7530
177.9630-38.4600  1.0000  0.8559
177.9630-38.4660  1.0000  0.9746
177.9630-38.4720  1.0000  1.0798
177.9630-38.4780  1.0000  1.1462
177.9630-38.4840  1.0000  1.1584
177.9630-38.4900  1.0000  1.1133
177.9630-38.4960  1.0000  1.0216
177.9630-38.5020  1.0000  0.9050
177.9630-38.5080  1.0000  0.7921
177.9630-38.5140  1.0000  0.7107
177.9630-38.5200  1.0000  0.6814
177.9630-38.5260  1.0000  0.7117
177.9630-38.5320  1.0000  0.7939
177.9630-38.5380  1.0000  0.9071
177.9630-38.5440  1.0000  1.0235
177.9630-38.5500  1.0000  1.1145
177.9630-38.5560  1.0000  1.1586
177.9630-38.5620  1.0000  1.1455
177.9630-38.5680  1.0000  1.0782
177.9630-38.5740  1.0000  0.9725
177.9630-38.5800  1.0000  0.8539
177.9630-38.5860  1.0000  0.7514
177.9630-38.5920  1.0000  0.6909
177.9630-38.5980  1.0000  0.6873
177.9720-38.4000  1.0000  0.9706
177.9720-38.4060  1.0000  0.9794
177.9720-38.4120  1.0000  0.9744
